,date,title,text,company
0,"November 23, 2022",Apple Agrees To Lower Commission Fees To Korean App Developers,"


On Tuesday Apple announced it will voluntarily correct its unfair policy of charging greater commission fees to South Korean app developers.
Despite Apple’s announcement to voluntarily correct its commission policy, the Fair Trade Commission made clear it will continue to look into unfair business activities by Apple.
“If Apple fixes the problematic action well, it will ease difficulties faced by domestic app developers to some extent. Active communication between app market operators and app developers will also help establish a fair and dynamic app market ecosystem,” said Fair Trade Commission Chairman Han Ki-jeong during talks with app industry insiders held in Pangyo, Gyeonggi Province, Tuesday.
Read more: Korean Watchdog Raids Apple Over Excessive Fee Collection
The decision comes after South Korea’s antitrust watchdog began a probe into the iPhone maker over its Korea-exclusive charging system that is based on consumer prices, including value-added tax.
This means Korean developers are forced to pay a 33 percent commission to Apple, above the 30 percent rate imposed in other markets.
In an official statement, Apple said that starting from January next year it will calculate the commission for Korean developers excluding value-added tax from app-generated sales, and that additional details will be explained to app developers step by step.
“We will support Korean app developers to grow in all app stores around the world and feel pride in their work by providing them with the best tools and technology,” the statement read.
",Apple
1,"November 22, 2022",UK To Investigate Apple And Google’s Browsing Dominance,"


On Tuesday UK watchdog, the Competition and Markets Authority launched a new probe into Apple and Google’s control of the mobile browser market.
The regulator said it will explore the companies’ “stranglehold” over browsing, as well as Apple’s control over cloud gaming through the App Store, it said in a release. The CMA said Google and Apple powered 97% of all web browsing that took place in the UK in 2021.
Big tech rivals such as web developers, cloud gaming service providers and browser vendors have offered “substantial support”  to move along the probe, according to the results of a June consultation released by the authority. 
Read more: Dark Clouds Gather – An Analysis of Apple and Google’s Restrictions on Cloud Gaming
Among the list of complaints is that Apple’s restrictions make it difficult to build innovative new apps for UK consumers, and that they are forced to contend with glitches and bugs while building webpages.
Sarah Cardell, interim chief executive of the CMA, said  “Many UK businesses and web developers tell us they feel that they are being held back by restrictions set by Apple and Google,” she said. “We plan to investigate whether the concerns we have heard are justified and, if so, identify steps to improve competition and innovation in these sectors.”
A Google spokesperson said “Android gives people a greater choice of apps and app stores than any other mobile platform. It also enables developers to choose the browser engine they want, and has been the launchpad for millions of apps. We’re committed to building thriving, open platforms that empower consumers and help developers build successful businesses.″
",Apple
2,"November 17, 2022",US Appeals Court Hears Apple/Fornite Antitrust Case,"


A Federal Appeals Court is now weighing in on a lawsuit between Apple and the maker of Fortnite. Epic Games claims that Apple’s app store fees violate antitrust laws because Apple requires a cut of purchases made by other companies that use its app store.
Epic Games  aimed to get the court to allow for third-party app stores and alternate methods of getting apps on iOS devices, but ‌Epic Games‌ largely lost the lawsuit, leading it to file an appeal. Apple won the antitrust suit, but was ordered to allow developers to add in-app links to outside websites where payments could be accepted.
Related: Epic Games To Take On Apple Antitrust Ruling At Appeal
Apple does not want to change its ‌App Store‌ rules and also appealed, leading to the court battle today. Epic Games will argue that the court made “multiple legal errors” in its initial ruling, once again arguing for sideloading to be allowed.
Apple maintains that ‌Epic Games‌ lost the trial because of “unprecedented” and “unfounded” accusations of anticompetitive conduct that ultimately did not sway the judge. Epic, says Apple, made far-reaching claims at the edges of antitrust law, and there is no basis for the ruling to be overturned on appeal. Apple will also argue that the original court made an error when implementing an injunction that will force ‌App Store‌ changes.
",Apple
3,"November 14, 2022",Epic Games To Take On Apple Antitrust Ruling At Appeal,"


 Epic Games on Monday will try to overturn portions of a court ruling in an antitrust trial last year that largely favored Apple.
The “Fortnite” creator sued Apple in 2020 alleging that the iPhone maker’s App Store rules, under which software developers must pay commissions of up to 30% on in-app purchases, violated US antitrust law.
After a three-week trial last year, a judge largely sided with Apple, stopping short of dubbing the company an “illegal monopolist” and upholding its right to charge the commissions.
Related: Apple Urges 9th Circuit To Undo California Ruling In Epic Games Suit
But the judge did find that Apple violated its home state of California’s unfair competition law and ordered the company to let developers tell users how to make app purchases outside of its proprietary payment system.
Apple appealed the order, and Epic appealed the finding that Apple did not violate antitrust laws. The two sides will argue their case before the U.S. Ninth Circuit Court of Appeals in San Francisco on Monday, with representatives from the U.S. Department of Justice and the state of California also making appearances to describe relevant laws.
",Apple
4,"November 10, 2022","New US Suit Claims Apple, Amazon Colluded To Raise Prices","


Apple and Amazon were accused in an antitrust lawsuit on Wednesday of conspiring to drive up the prices of iPhones and iPads. The lawsuit claims that Amazon and Apple colluded to eliminate third-party sellers on Amazon who offered these products at a lower price. 
The lawsuit was filed by law firm Hagens Berman in Washington. It alleged that the companies had an ‘unlawful horizontal agreement’ to reduce the ‘competitive threat posed by third-party merchants’, thus violating the US antitrust laws that prohibit such coordination, especially when it leads to higher prices or other harms to consumers, such as loss of quality or access.
Related: Italian Court Overturns Apple & Amazon’s Antitrust Fine
The lawsuit claimed that Amazon expelled third-party sellers after it signed a deal with Apple in 2019. The number of Apple resellers on Amazon fell to around 20 per country, according to reports. Apple, in return, gave Amazon up to a 10 percent discount on its products. Based on a MacRumors report, there were about 600 third-party sellers of Apple devices on Amazon, but only seven were left following the 2019 agreement.  
The change transformed Amazon into the dominant reseller of new iPhones and iPads. According to a Reuters report on the lawsuit by plaintiff Steven Floyd of Williamsport, Pennsylvania, prices rose more than 10 per cent, while Apple stabilised the prices it charged in retail stores.
",Apple
5,"November 1, 2022",UK’s Apple App Store Investigation Adds Spotify Podcasts,"


Apple stopped Spotify from circumventing its App Store fees for audiobooks, and now, Spotify is allegedly speaking with the British competition watchdog over the incident.
Spotify wants to sell audiobooks within its app by sending customers to its website. Apple doesn’t allow this for individual goods, though a rule was passed to allow subscription services to link to the external subscription page.
Related: Spotify Meets With UK’s CMA Over Apple’s App Store Fees
After denying Spotify several app updates, the streamer finally complied and removed audiobook purchases from its app. However, according to a report from The Telegraph, Spotify wants this latest problem investigated by the British Competition and Markets Authority.
It isn’t clear exactly what occurred per the report, but Spotify allegedly met with the CMA to raise concerns about Apple’s decision to block app updates. An anonymous source reports that Spotify executives called on the CMA to accelerate its inquiry into Apple.
",Apple
6,"October 31, 2022",Spotify Meets With UK’s CMA Over Apple’s App Store Fees,"


Audio streaming giant Spotify has called on the competition watchdog to investigate Apple, accusing it of blocking its new audiobook service.
According to the Telegraph, the Sweden-based Spotify met with the Competition and Markets Authority on allegations Apple had rejected several iterations of updates to its app for the iPhone and iPad.
Spotify added audiobooks to its streaming platform last month, allowing users to buy recordings to listen to through its service.
Related: Spotify Wants The EU To ‘Accelerate’ Apple Antitrust Case
In order to avoid Apple’s much-criticised 30% fee charges for purchases made on apps through its devices, Spotify initially emailed users links to purchase an audiobook, but was reportedly forced to stop even doing that by Apple when submitting app updates for its listing in the App Store.
The Telegraph said the app now tells users: “Want to listen? You can’t buy audiobooks in the app. We know it’s not ideal.”
Spotify chief executive Daniel Ek last week slammed Apple for “choking competition” with its requirement that any purchase made through an app be processed by its system – and attract the 30% fee.
",Apple
7,"October 6, 2022",French Court Cuts Down Antitrust Fine Against Apple,"
An appeals court in France today lowered a fine levied against Apple by the French Competition Authority due to alleged “anti-competitive behavior towards its distribution and retail network,” according to Reuters. 
The antitrust regulator fined Apple in 2020 after finding that it imposed prices on Apple Authorized Resellers in France so that prices were in line with those charged at Apple Stores and on Apple.com. The fine was reduced after the appeals court dropped one of the three main charges related to price-fixing allegations, and significantly lowered the rate applied to calculate the overall fine, according to the report.
At the time, it was the biggest fine levied by the antitrust regulator, which said Apple imposed prices on retail premium resellers so that the prices were aligned with those charged by the California firm in its own shops, or on the internet.
The appeals court backed the antitrust watchdog’s charge that Apple abused the retailers’ economic dependency on the company but tossed the fixed-pricing charge, one of the two sources said.
The investigation began after a dispute between Apple and one of its leading French wholesalers, which alleged that it went out of business due to Apple’s uncompetitive rules. When fined in 2020, Apple said the French Competition Authority’s decision was “disheartening” and “discards thirty years of legal precedent.”

",Apple
8,"October 5, 2022",Dark Clouds Gather – An Analysis of Apple and Google’s Restrictions on Cloud Gaming,"


By Damien Geradin (TILEC) & Stijn Huijts (Geradin Partners)
Cloud gaming represents a new model of video game distribution. It involves playing games that are streamed from a remote server (the cloud), and has the potential to revolutionize gaming as it is, at least in theory, device-agnostic, allowing AAA games to be played on any device with a connection to the internet. However, Apple blocks the emergence of cloud gaming apps on its Apple App Store, and Google, although not completely blocking them, still imposes restrictions on them. Apple’s prevention of cloud gaming apps has led the UK Competition and Markets Authority to make a Market Investigation Reference, which could lead to the authority imposing remedies on Apple.
This paper provides an introduction to cloud gaming and explains why it is an important development that offers huge potential for competition and innovation in digital markets. It then discusses Apple’s prevention of cloud gaming apps and examines Apple’s stated rationale for this policy, after which it also touches on Google’s restrictions. This is followed by a section that sets out other reasons why it may be in Apple’s commercial interest to block the emergence of cloud gaming apps, looking in particular at whether this may be linked to a desire to protect its position in the distribution of apps on iOS devices and its revenues from the sale of hardware. After this, the paper discusses how these restrictions have led to the UK Market Investigation Reference, and how they may be treated under the forthcoming EU Digital Markets Act.
Continue Reading…
",Apple
9,"October 3, 2022",Italian Court Overturns Apple & Amazon’s Antitrust Fine,"


An administrative court in Italy today scrapped a €173.3 million ($170.4 million) fine leveled at Apple and Amazon last year for alleged anti-competitive cooperation when selling Apple and Beats products, Reuters reports.
In November 2021, Italy’s antitrust watchdog hit Apple and Amazon with a $196 million fine in the culmination of an investigation that began in 2020 over allegations that the two companies had been blocking the sale of Apple and Beats devices to resellers in order to stifle competition and keep prices high.
The regulator said contractual provisions of a 2018 agreement between the two companies meant only selected resellers were allowed to sell the products on Amazon’s Italian store, which was in violation of EU rules and affected competition on prices.
Amazon was fined €68.7 million euros ($67.6 million), while Apple received a fine of $132.3 million. The watchdog also ordered the companies to end the restrictions to give retailers of genuine Apple and Beats products access to the Italian Amazon web store in a “non-discriminatory manner.”
Both Apple and Amazon appealed against the fines. “To ensure our customers purchase genuine products, we work closely with our reseller partners and have dedicated teams of experts around the world who work with law enforcement, customs and merchants to ensure only genuine Apple products are being sold,” Apple said, denying any wrongdoing. In a separate statement Amazon said it strongly disagreed with the decision of the Italian authority and that the proposed fine was “disproportionate and unjustified.”
Earlier this year, the fine was reduced to an overall €173.3 million ($170.4 million) due to a “material error” in the initial calculation. Amazon welcomed today’s ruling in a statement, while Apple and Italy’s antitrust regulator declined to comment.
Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.
",Apple
