,date,title,text,company
0,"November 24, 2022",Russian Court Upholds $33M Google Fine,"


An arbitration court in Moscow has upheld a 2-billion rouble ($33 million) fine against Google issued by Russia’s federal antimonopoly service over the company’s decision to block some YouTube channels, the RIA Novosti news agency reported, citing a court decision.
Related: Russian Watchdog Says Google Complied With Antitrust Warning Over Play Store
",Google
1,"November 22, 2022",UK To Investigate Apple And Google’s Browsing Dominance,"


On Tuesday UK watchdog, the Competition and Markets Authority launched a new probe into Apple and Google’s control of the mobile browser market.
The regulator said it will explore the companies’ “stranglehold” over browsing, as well as Apple’s control over cloud gaming through the App Store, it said in a release. The CMA said Google and Apple powered 97% of all web browsing that took place in the UK in 2021.
Big tech rivals such as web developers, cloud gaming service providers and browser vendors have offered “substantial support”  to move along the probe, according to the results of a June consultation released by the authority. 
Read more: Dark Clouds Gather – An Analysis of Apple and Google’s Restrictions on Cloud Gaming
Among the list of complaints is that Apple’s restrictions make it difficult to build innovative new apps for UK consumers, and that they are forced to contend with glitches and bugs while building webpages.
Sarah Cardell, interim chief executive of the CMA, said  “Many UK businesses and web developers tell us they feel that they are being held back by restrictions set by Apple and Google,” she said. “We plan to investigate whether the concerns we have heard are justified and, if so, identify steps to improve competition and innovation in these sectors.”
A Google spokesperson said “Android gives people a greater choice of apps and app stores than any other mobile platform. It also enables developers to choose the browser engine they want, and has been the launchpad for millions of apps. We’re committed to building thriving, open platforms that empower consumers and help developers build successful businesses.″
",Google
2,"November 20, 2022",Italian Court Rejects Google’s Appeal Against Antitrust Fine,"


An Italian administrative court on Friday rejected an appeal by Alphabet’s Google against a decision by Italy’s antitrust authority to fine the group, but accepted iPhone maker Apple’s appeal against the watchdog’s ruling.
Read more: Italian Watchdog Looks To Fine Google Over Restrictive Clauses
Last year, Italy’s antitrust regulator fined Google and Apple 10 million euros ($10.36 million) each, claiming that the two tech groups had not provided “clear and immediate information” on how they collect and use the data of those who access their services.
",Google
3,"November 17, 2022",Google Allegedly Paid 24 App Developers To Stop Competition With Its App Store,"


Google has struck deals with at least 24 big app developers to stop them from competing with its Play Store, including an agreement to pay Activision Blizzard about $360 million over three years, according to a court filing on Thursday.
Google also agreed in 2020 to pay Tencent Riot Games unit, which makes “League of Legends,” $30 million over one year in a similar deal, the filing stated.
Read more: Google Store Refuses Truth Social Android App
The financial details emerged in a newly unredacted copy of a lawsuit “Fortnite” video game maker Epic Games first filed against Google in 2020 over allegedly anticompetitive practices related to the search giant’s Android and Play Store businesses.
Google, Activision and Riot did not immediately respond to requests for comment on the new filing. But Google has previously said the lawsuit is baseless and has taken business conversations out of context.
Epic last year mostly lost a similar case against Apple, the other leading app store provider. An appellate ruling in that case is expected next year.
",Google
4,"November 14, 2022",Google To Pay $392M To Settle Privacy Suit With 40 States,"


Google agreed to a record $391.5 million privacy settlement with a 40-state coalition of attorneys general on Monday for charges that it misled users into thinking they had turned off location tracking in their account settings even as the company continued collecting that information.
Under the settlement, Google will also make its location tracking disclosures clearer starting in 2023.
Related: Google To Pay YouTube Creators In Bid Compete With TikTok
The attorneys general said that the agreement was the biggest internet privacy settlement by U.S. states. It capped a four-year investigation into the internet search giant for violating the states’ consumer protection laws.
States have taken an increasingly central role in reining in the power and business models of Silicon Valley corporations, amid a vacuum of action from federal lawmakers.
More than four years after Europe rolled out data privacy rules for its citizens, Congress and regulators have failed to agree to a federal data protection law in the United States. Lawmakers have squabbled over details of privacy proposals, and tech giants have deployed armies of lobbyists to water down or destroy legislation.
",Google
5,"November 6, 2022",Google Says Epic Games Claim That They Deleted Evidence Is “Meritless”,"


Google parent Alphabet denied claims in an antitrust case in California federal court that the company had deleted employees’ electronic “chats” to deprive plaintiffs of evidence in their case alleging anticompetitive conduct within the Google Play Store.
Lawyers for Google at law firms Morgan, Lewis & Bockius and at Munger, Tolles & Olson in a court filing said the company had taken appropriate steps “to preserve and produce” evidence of employees’ internal chats. The company called the plaintiffs’ bid for sanctions “meritless” and asked US District Judge James Donato in San Francisco to reject the bid.
Read more: Epic Games & Match To Bring New Antitrust Allegations Against Google
Donato is presiding over a series of related cases brought since 2020 by “Fortnite” maker Epic Games Inc, consumers and dozens of US states challenging alleged exclusionary practices in how Google runs its app store. Google has denied the claims.
Judges are regularly called on to referee pretrial fights over evidence, and parties can ask courts to impose sanctions on one side for not following rules.
Google has produced information including contracts, emails, transactional data and other records as part of the litigation.
Last month, the plaintiffs’ lawyers leading cases against Google jointly askedDonato to punish Google for the alleged destruction of “substantive” chat-related information relevant to the pending antitrust claims.
A Google spokesperson on Friday declined to comment about the dispute over chat evidence, and lawyers for plaintiffs did not immediately respond to messages seeking comment.
",Google
6,"November 2, 2022",New Study Says Google Is “Punishing” Conservatives Who Are Against Big Tech,"


Google is “punishing Republicans” who speak out against Big Tech, according to the conservative Media Research Center, reported CNN.
MRC Free Speech America has conducted a series of studies related to Google’s treatment of Republicans ahead of the critical midterm elections. Despite Google’s vehement denials of any wrongdoing, the conservative media watchdog believes Google “does change its algorithm to benefit certain political candidates,” and is focused on the Senate because its “search bias” didn’t carry over to House races where the GOP is already favored.
Related: Bozell Calls For Antitrust Action Against Big Tech For “Canceling Conservatives”
The latest study focused on 10 key races in the House and Senate involving sitting lawmakers who have spoken out against Big Tech. MRC said its findings indicated Google “severely buried or did not even display several Republicans’ campaign websites” if they have acted aggressively toward Big Tech.
“In fact, the search giant completely hid six of 10 Republicans’ campaign websites from the first page of results,” MRC associate editor Brian Bradley wrote.
“Google did not show Kentucky Sen. Rand Paul’s campaign website on its front page of search results but showed his Democrat challenger Charles Booker’s campaign website as the first result. Paul, who is up for re-election, has been a frequent critic of Big Tech,” Bradley added. “Google buried [Colorado] Rep. Ken Buck’s campaign website as the 15th result out of 20 on the first page, while elevating his challenger Democrat Ike McCorkle’s campaign website to the No. 3 spot in the search results. Buck has introduced legislation that would strengthen antitrust actions brought against industries including Big Tech.”
",Google
7,"October 31, 2022",Supreme Court On Google Ruling May Reset Internet Content Rules,"


Tech industry players are concerned that the Supreme Court could impose new rules that upset the internet economy.
That’s according to a report in The Wall Street Journal, which looks at the court’s upcoming ruling on Section 230, a federal law that guards sites such as Facebook or YouTube against lawsuits over harmful content posted by third parties.
The case originated with a lawsuit against YouTube owner Google by the family of Nohemi Gonzalez, who was killed in the 2015 Islamic State terrorist attack in Paris. They argue that YouTube aided ISIS by recommending the group’s videos to users. Google says that Section 230 guards it against liability for content added to its site by users.
Related: Google Prevails Over Oracle In  Supreme Court Case
“This is going to be the most important [Supreme Court] term ever for the internet,” Alan Rozenshtein, a Justice Department cybersecurity official turned University of Minnesota law professor, told the WSJ. “It’s not even close.”
The tech industry has already begun to try to figure out its response to an unfavorable ruling, including petitioning Congress to pass legislation to rewrite Section 230 with more obvious liability protections, said Matt Schruers, president of the trade group Computer and Communications Industry Association.
“I could foresee an outcome where the litigation and compliance risks stemming from an ill-considered decision are so great that many small firms exit the market,” which would lead to foreign-based services picking up market share, he said. “To say that another way, US competitiveness is potentially at risk here, and we have the most to lose from getting this wrong,” Schruers said.
",Google
8,"October 30, 2022",Google To Appeal Indian Ruling Over Android,"


Google is planning a legal challenge to block a ruling by India’s antitrust watchdog to change its approach to its Android operating system, concerned that it will restrict how it promotes the platform, sources with direct knowledge of the situation told Reuters.
The Alphabet Inc unit has been fined $275 million in two Indian antitrust decisions since last week – one for its policies of charging in-app commissions and another for abusing its position in the market for Android operating system.
Related: Indian Antitrust Probe Finds Google Abused Android Dominance
The rulings come as Google faces increased antitrust scrutiny across the world. Last month, it suffered a major setback when a European court upheld a 2018 ruling saying it was largely confirming a decision that the company imposed “unlawful restrictions on manufacturers of Android mobile devices.” Google plans to appeal the decision, where it faces a record $4.1 billion fine.
The Competition Commission of India’s (CCI) Android ruling, despite involving a smaller $162 million fine, has worried Google since it seeks wider ranging remedial measures, three sources aware of company’s thinking said.
One of the sources said that Google was concerned that the CCI’s decision could increase regulatory pressures in other jurisdictions and a legal appeal to block implementation of the antitrust directive was being planned within weeks.
Google declined to comment on its legal plans, reiterating its statement from last week that the CCI order was “a major setback for Indian consumers and businesses, opening serious security risks … and raising the cost of mobile devices for Indians.”
Abhishek Manu Singhvi, lead counsel for Google in its arguments before the CCI, tweeted on Wednesday that “inherent & patent infirmities” in the order make a challenge inevitable and likely to succeed.
",Google
9,"October 27, 2022",EU Looks At Google Play As Android Fine Appeal Pending,"


European antitrust regulators are investigating Google’s Play Store, the company said in a regulatory filing, a move that could expose the US tech giant to another billion-euro fine, reported Reuters. 
Over the last decade, Google has incurred 8.25 billion euros ($8.24 billion) in EU antitrust fines following three investigations into its business practices.
Related: Dutch Watchdog To Investigate Google Play Store Practices
“In May 2022, the EC (European Commission) and the CMA (Britain’s Competition and Markets Authority) each opened a formal investigation into Google Play’s business practices,” Google said in a quarterly earnings filing dated Oct. 25.
The European Union antitrust watchdog did not immediately respond to a request for comment.
EU antitrust regulators are investigating whether Google’s threat to remove apps from its Play Store if app developers use other payment options instead of its own billing system has hurt the developers, two people familiar with the matter told Reuters in August.
Fees charged by Google and Apple at their mobile app stores have drawn criticism from developers who say they are excessive.
Separately, Google said on Thursday it will appeal its record 4.1-billion-euro ($4.10 billion) EU antitrust fine at Europe’s top court after a lower tribunal threw out its challenge last month.
",Google
