,date,title,text,company
0,"November 24, 2022",FTC ‘Likely’ To File Suit To Block the Microsoft & Activision Deal: Report,"


The Federal Trade Commission (FTC) is reportedly “likely” to file an antitrust lawsuit to block the $68.7 billion deal that would see Microsoft acquiring Activision Blizzard.
As reported by Politico, this news comes by the way of “three people with knowledge of the matter,” and they stress this lawsuit is “not guaranteed.”
The FTC’s four commissioners haven’t taken the time to vote out a complaint or even meet with the lawyers from Microsoft and Activision, but the FTC staff reviewing the deal are “skeptical of the companies’ arguments.”
Read more: FTC To Rule On Microsoft’s Activision Deal By November
As for where the deal stands, much of the “heavy lifting” has been completed, including depositions of Microsoft CEO Satya Nadella and Activision CEO Bobby Kotick. This means a decision on a potential antitrust lawsuit could arrive as soon as December.
The main crux of the problem, according to the FTC, is some worry this deal will give “Microsoft an unfair boost in the video game market.”
Sony has, obviously, been one of the biggest opponents against the deal, and the question of where Call of Duty will appear has been one of the hottest topics. Despite Xbox head Phil Spencer stating Call of Duty will continue to ship on PlayStation “as long as there’s a PlayStation to ship to,” there are still concerns with what other issues this deal may create.
Sony has previously said that Microsoft is a “Tech Titan buying up irreplaceable content at incontestable prices ($68.7 billion) to tip competition to itself.”
There are concerns beyond Call of Duty, however, as there is worry about what future mega-hit titles will do to tip the scales if they are locked behind one platform.
Google is also said to be against the deal, claiming Microsoft has “purposely degraded the quality of its Game Pass subscription service when used with Google’s Chrome operating system.” If the deal were to go through, it believes it would “further [Microsoft’s] incentive to do so.”
",Microsoft
1,"November 14, 2022",Pension Fund Sues To Stop Activision’s $69 Billion Sale To Microsoft,"


A Swedish state-run pension fund sued Activision Blizzard Inc. and Microsoft Corp., claiming their planned $69 billion merger was rigged to exploit the beleaguered gaming giant’s sexual harassment crisis and protect its CEO.
The 205-page complaint also targets embattled Activision chief Bobby Kotick, plus current and ex-members of its board. It accuses them of engineering an underpriced deal in exchange for terms allowing Kotick to stay at the helm, at least until the transaction closes after a drawn-out regulatory review.
Knowing Activision and Kotick were “weak and wounded,” Microsoft used the leverage created by the scandal to acquire Activision “at a bargain price,” at an inopportune time, and following a sham process, according to the proposed class action. It was made public Nov. 10 in Delaware’s Chancery Court.
Read more: EU Watchdog Probe Microsoft’s $69 Billion Activision Bid
“Microsoft knowingly exploited the harassment scandal and its commercial leverage over Activision precisely to offer Kotick a way to save his own skin,” the lawsuit says. “It conspired with Kotick and the board to help them evade the personal and professional consequences of that scandal.”
Joe Christinat, a spokesman for Activision, defended the transaction Monday.
“This is a great deal for shareholders,” Christinat told Bloomberg Law. “We garnered 98% approval of votes cast. The board went through a thorough process to decide the right move for employees, shareholders, and players.”
A spokesperson for Microsoft told Bloomberg Law in a statement that “our proposed acquisition of Activision Blizzard was negotiated lawfully and fairly.”
",Microsoft
2,"November 8, 2022",EU Watchdog Probe Microsoft’s $69 Billion Activision Bid,"


EU antitrust regulators on Tuesday opened a full-scale investigation into Microsoft’s $69 billion bid for “Call of Duty” maker Activision Blizzard, warning the deal may hurt competition.
The U.S. software company, which announced the deal in January, is betting Activision’s stable of games will help it compete better with leaders Tencent and Sony, with the latter being a critic of the deal.
Related: Microsoft Offers No EU Remedies For Its $69B Activision Blizzard Deal
“The Commission’s preliminary investigation shows that the transaction may significantly reduce competition on the markets for the distribution of console and PC video games, including multigame subscription services and/or cloud game streaming services, and for PC operating systems,” the European Commission said in a statement.
“In particular, the Commission is concerned that, by acquiring Activision Blizzard, Microsoft may foreclose access to Activision Blizzard’s console and PC video games, especially to high-profile and highly successful games (so-called ‘AAA’ games) such as ‘Call of Duty’,” it said.
",Microsoft
3,"October 31, 2022",Microsoft Offers No EU Remedies For Its  $69B Activision Blizzard Deal,"


Microsoft has not offered any remedies to EU antitrust regulators reviewing its proposed $69 billion bid for “Call of Duty” maker Activision Blizzard ahead of an expected full-scale EU probe, reported Reuters.
The US software company is betting on the acquisition to help it compete better with leaders Tencent and Sony, with the latter being a critic of the deal.
The European Commission, which is scheduled to finish its preliminary assessment of the deal by Nov. 8, said its website was up to date. The site showed that Microsoft had not provided concessions.
Related: EU Wants To Know If Microsoft Will Block Rivals After Activision Blizzard Buy
Microsoft said it continues to work with the Commission on the next steps and to address any valid marketplace concerns, such as those voiced by Sony.
“Sony, as the industry leader, says it is worried about Call of Duty, but we’ve said we are committed to making the same game available on the same day on both Xbox and PlayStation,” Microsoft said in a statement.
Companies typically do not offer remedies during the EU preliminary review when they know regulators subsequently intend to open a four-month long investigation.
",Microsoft
4,"October 31, 2022",UK Questions If Meta & Microsoft Can Self-Regulate Their Metaverses,"


The boss of the UK media regulator Ofcom warned “metaverse” forays from tech giants like Meta and Microsoft will be subjected to incoming rules forcing platforms to protect users from online harms.
Speaking at an event in London hosted by policy consulting group Global Counsel on Tuesday, Ofcom Chief Executive Melanie Dawes said self-regulation of the metaverse, a hypothetical digital world touted by Meta and others, wouldn’t fly under UK online safety laws.
“I’m not sure I really see that ‘self-regulatory phase,’ to be honest, existing from a UK perspective,” Dawes said. “If you’ve got young people in an environment where there’s user-generated content according to the scope of the bill then that will already be caught by the Online Safety Bill.”
Read also: FTC To Rule On Microsoft’s Activision Deal By November
The Online Safety Bill is a set of legislation that seeks to curb harmful content from being widely shared on the internet. The rules would impose a duty of care on firms requiring them to have robust and proportionate measures to deal with harmful materials such as vaccine disinformation or posts promoting self-harm.
Violations of the law — once it is approved — could lead to fines of up to 10% of annual global revenues. Down the track, senior tech executives may also face criminal liability for more extreme breaches.
The bill is especially concerned with the protection of children, having been developed in response to the death of Molly Russell, a U.K. teen who took her own life after being exposed to suicide-related posts on Instagram. In September, a coroner investigating Russell’s death made the landmark conclusion that “negative effects” of social media contributed to her death.
",Microsoft
5,"October 27, 2022",Microsoft & Sony At Odds Over Call of Duty Access,"


Related: Microsoft & Sony Clash Over Call Of Duty & Game Pass In Legal Docs
",Microsoft
6,"October 12, 2022",Microsoft Claims UK Watchdog Swayed Sony Bias On $69B Deal,"


This week Microsoft has accused UK’s competition watchdog of relying on “self-serving” input from rival Sony inits decision to probe the tech giant’s $69 Billion takeover of Activision Blizzard, reported Reuters. 
The Competition and Markets Authority (CMA) said last month that the acquisition could harm competition and needed to be investigated in depth.
Microsoft could use its control over popular games to harm rivals, including those operating in multi-game subscription services and cloud gaming, it said.
“The CMA is concerned that having full control over this powerful catalogue (…) could result in Microsoft harming consumers by impairing Sony’s — Microsoft’s closest gaming rival— ability to compete,” it said.
Microsoft said the CMA had adopted Sony’s complaints without the “appropriate level of critical review”.
In its submission, it said Sony’s PlayStation had been the largest console platform for more than 20 years, and it was not credible to suggest its dominance would be challenged by losing access to one title.
“The Referral Decision incorrectly relies on self-serving statements by Sony which significantly exaggerate the importance of ‘Call of Duty’ to it and neglect to account for Sony’s clear ability to competitively respond,” Microsoft said.
Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.
",Microsoft
7,"October 9, 2022",EU Wants To Know If Microsoft Will Block Rivals After Activision Blizzard Buy,"


The Activision Blizzard acquisition by Microsoft is one that has caught many eyes on both the gaming industry and community. 
The deal, if approved, would see Microsoft owning the Call of Duty IP as well as other IPs in the Activision Blizzard repertoire. The deal is currently going through heavy scrutiny by several organizations. One of which is the European Commission.
As of now, Microsoft will have to wait until November 8 to hear more about whether the European Commission will permit the deal to go into its next phase. The acquisition is scrutinized by global regulators amid antitrust concerns during a time of increasing consolidation in the gaming industry, after all, so every bit of scrutiny is justified.
Now, several antitrust regulators from the EU are asking game developers whether Microsoft will be incentivized to block access to Call of Duty from rivals. According to the document that Reuters first spotted, these regulators also want to know if Activision’s trove of user data would give Microsoft a competitive advantage in developing, publishing, and distributing computer and console games.
The regulators also want to know if there would be sufficient alternative suppliers in the market following the deal and also in the event Microsoft decides to make Activision’s games exclusively available on its Xbox, Xbox Game Pass and its cloud game streaming services. Another one of the questions asked if rivals such as NVIDIA GeForce NOW, PlayStation, Google Stadia, Amazon Luna, and Facebook Gaming would be considered attractive following the deal’s closure. All of these questions have to be answered by October 10, 2022.
Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.
",Microsoft
8,"October 6, 2022",EU Regulators Have More Questions On Microsoft’s Activision Deal,"


EU antitrust regulators are asking games developers whether Microsoft will be incentivised to block rivals’ access to ‘Call of Duty’ maker Activision Blizzard’s best-selling games, according to an EU document seen by Reuters.
EU antitrust regulators are due to make a preliminary decision by Nov. 8 on whether to clear Microsoft’s proposed $69 billion acquisition of Activision.
The EU competition enforcer also asked if Activision’s trove of user data would give the U.S. software giant a competitive advantage in the development, publishing and distribution of computer and console games, the EU document shows.The planned acquisition, the biggest in the gaming industry, will help Microsoft better compete with leaders Tencent and Sony.
After its decision next month the European Commission is expected to open a four-month long investigation, underscoring regulatory concerns about Big Tech acquisitions.
Games developers, publishers and distributors were asked whether the deal would affect their bargaining power regarding the terms for selling console and PC games via Microsoft’s Xbox and its cloud game streaming service Game Pass.
Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.
",Microsoft
9,"October 5, 2022",FTC To Rule On Microsoft’s Activision Deal By November,"


The Federal Trade Commission (FTC) could reportedly rule on Microsoft‘s proposed acquisition of Activision Blizzard by late November.
That’s according to Seeking Alpha, which claims the US regulator’s inquiry is still at the staff level, but that it’s expected to progress through the Bureau of Competition and onto the commissioners over the coming weeks.
The publication’s sources claim FTC staff have significant concerns about the $68.7 billion merger, and that the regulator has been engaging with a number of competitors opposed to the transaction, including Sony and Google.
The Information reported in April that the FTC’s investigation into the deal was likely to focus on the consumer data that both companies hold as well as its potential impact on the labour market.
It also said the FTC would review the deal’s potential impact on workers who have accused Activision of harassment and discrimination, as well its potential impact on the competitive metaverse.
The acquisition is currently being scrutinised by regulators around the world amid antitrust concerns during a time of increasing consolidation in the gaming industry.
The UK competition regulator announced on Tuesday that it has set a deadline of March 1, 2023 to publish the findings of its inquiry into the deal.
Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.
",Microsoft
10,"October 2, 2022","EU Sets Next Month As Deadline For Microsoft, Activision Decision","


EU antitrust regulators will decide by Nov. 8 whether to clear Microsoft Corp’s proposed $69 billion acquisition of “Call of Duty” maker Activision Blizzard, according to a European Commission filing on Friday.
The deal, the biggest in the gaming industry, will help the US software company better compete with leaders Tencent and Sony.
The EU competition enforcer can clear the deal with or without remedies after its preliminary review, or it can open a four-month long investigation if it has serious concerns.
The Commission is likely to do the latter because of recent regulatory concerns over deals by Big Tech, sources familiar with the matter said.
“The European Commission’s review of the deal is progressing in line with the expected regulatory schedule and process, and we remain confident that the acquisition will close in fiscal year 2023,” a Microsoft spokesperson said.
Britain’s antitrust watchdog earlier this month said it would open an in-depth investigation into the bid after Microsoft declined to offer concessions during its initial review.
Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.
",Microsoft
11,"September 22, 2022",Microsoft CEO Confident Activision Blizzard Merger Will Be Approved,"
Microsoft CEO Satya Nadella is still confident that the company’s acquisition of Activision Blizzard will be approved, and said, “if this is about competition, let us have competition.”
In an interview with Bloomberg, Nadella says, “Of course, any acquisition of this size will go through scrutiny, but we feel very, very confident that we’ll come out.” 
A key concern, particularly for the Competition and Markets Authority (CMA) in the UK, has been that the merger could be anti-competitive for the gaming industry as a whole. However, Nadella points out that Microsoft’s main competitor, Sony, has also acquired studios, including big ones like Bungie.
Read More: UK Deepens Antitrust Probe of Microsoft’s Activision Deal
Concerns about exclusivity and access to popular gaming franchises have also played a part in this case, with PlayStation CEO Jim Ryan previously stating that Microsoft’s offer  about extending the availability of the multi-billion dollar Call of Duty games on their platforms for only three years was inadequate. Microsoft did assure SIE that the franchise will always be multiplatform.
Nadella continues, “So if this is about competition, let us have competition.”
Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.
...    


THIS ARTICLE IS NOT AVAILABLE FOR IP ADDRESS 104.151.16.164

                Please sign in or join us
                to access premium content!
            


",Microsoft
12,"September 22, 2022","UK Watchdog Eyes Google, Amazon, Microsoft In Antitrust Probe","


Media regulators are looking into whether large US tech companies including Amazon and Google have formed a monopoly over cloud computing in Britain, officials said Thursday.
Britain’s media watchdog agency Ofcom announced the investigation and said it will look into whether the two companies and Microsoft may have an unfair competitive advantage in the cloud services industry.
“Because the cloud sector is still evolving, we will look at how the market is working today and how we expect it to develop in the future — aiming to identify any potential competition concerns early to prevent them becoming embedded as the market matures,” the agency said in a statement, according to the Evening Standard.
Specifically in the crosshairs of the inquiry are Amazon Web Services, Microsoft Azure and Google Cloud, all of which dominate global cloud storage services — a powerful tool that allows businesses to store data on remote servers accessible from anywhere as opposed to localized hard drives.
Depending on the findings of the investigation, the agency could take further action to rein in the corporate behemoths.
Other popular digital tools are also on the watchdog’s radar, including Meta’s WhatsApp, Apple’s Zoom and FaceTime and virtual assistants like Amazon Alexa — services that so far have seen little, if any, regulatory oversight.
Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.
",Microsoft
13,"September 18, 2022",Sony “Appreciates” UK Watchdog’s Microsoft-Activision Blizzard Deal Probe,"


The Competition and Markets Authority (CMA) of the United Kingdom confirmed it is moving forward with a more in-depth investigation of Microsoft’s Activision Blizzard acquisition. Sony has responded, praising the regulator’s decision.
The CMA announced on Thursday that it has referred the Microsoft-Activision Blizzard deal for an in-depth investigation, which the regulator calls a Phase 2 inquiry.
UK’s market competition watchdog released its initial findings last Sept. 1, saying the $68.7 billion deal could lead to a “substantial lessening of competition.” According to CMA’s rules, Microsoft and Activision Blizzard would have to present remedies within five working days to prove that their deal will not negatively impact the video game market in the UK.
In its reference decision published on Thursday, the CMA said it was informed last Sept. 6 that Microsoft chose not to provide remedies to the regulator’s concerns. This corroborated a report from the Financial Timeswith sources that claimed Microsoft did not expect the CMA to accept any commitments that would have prevented a Phase 2 inquiry. Per the timetable CMA posted, the in-depth investigation could run through March 2023.
Sony, one of the companies most vocal about the acquisition, praised the CMA for its decision. “By giving Microsoft control of Activision games like ‘Call of Duty,’ this deal would have major negative implications for gamers and the future of the gaming industry,” the company told GamesIndustry.biz. “We want to guarantee PlayStation gamers continue to have the highest quality gaming experience, and we appreciate the CMA’s focus on protecting gamers.”
Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.
",Microsoft
