,date,title,text,company
0,"March 10, 2019",US: Judge ends NCAA cap on athlete compensation,"
A judge has ruled against the NCAA in a federal antitrust case, opening door for players to receive more compensation. On Friday night  US District Judge Claudia Wilken said that the NCAA cannot “limit compensation or benefits related to education” for athletes playing Division I men’s or women’s basketball or Bowl Subdivision football.
Wilken said these athletes may receive are scholarships to complete undergraduate or graduate degrees at any school. The judge also appeared to open the possibility of athletes being able to receive cash or cash-equivalent awards based on academics or graduation, albeit under some constraints.
At the same time, however, her 104-page ruling prevents athletes from receiving unlimited benefits, as the plaintiffs had hoped.
The NCAA “may continue … to limit compensation and benefits that are unrelated to education,” Wilken ruled.
She also said that the association may adopt a definition of compensation and benefits that are “related to education.”
Wilken wrote that the changes to the NCAA’s current system will take effect in 90 days, but will be stayed if either side appeals.
The outcome represents a partial victory for plaintiffs who were seeking to have the association’s limits on athletes compensation in favor of allowing conferences to determine what athletes can receive.

Full Content: USA Today


Want more news? Subscribe to CPI’s free daily newsletter for more headlines a...    


THIS ARTICLE IS NOT AVAILABLE FOR IP ADDRESS 104.151.16.164

                Please sign in or join us
                to access premium content!
            


",Google
1,"March 10, 2019",US: J&J can’t arbitrate Remicade antitrust case argues Rochester,"
A drug wholesaler is urging a federal appeals court to not send a lawsuit accusing Johnson & Johnson (J&J) of seeking to suppress competition for its blockbuster rheumatoid arthritis drug Remicade to arbitration.
Remicade has been on the market since receiving FDA approval in 1998. From 1998 to 2016, J&J had what the suit calls a monopoly on the market, as it was the only product that contained the active ingredient infliximab.
Rochester Drug Cooperative told the 3rd US Circuit Court of Appeals in a brief on Thursday, March 7, that a federal judge in Philadelphia correctly determined its antitrust claims did not fall within the scope of an arbitration agreement it had signed with J&J.

Full Content: Reuters


Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.

...    


THIS ARTICLE IS NOT AVAILABLE FOR IP ADDRESS 104.151.16.164

                Please sign in or join us
                to access premium content!
            


",Google
2,"March 10, 2019",EU: Deutsche Bank agrees to informal merger talks with Commerzbank,"
Deutsche Bank’s top executives have agreed to hold discussions with rival Commerzbank about a potential merger, as Germany’s two biggest banks explore strategic options after suffering prolonged performance and share-price declines, people close to the banks said.
The informal talks reflect a deepening willingness by Deutsche Bank’s management board to engage in a possible tie-up, though executives this week continued to see a potential merger as one option, some of the people said.
The agreement by Deutsche Bank’s management board to hold talks was earlier reported by the Welt am Sonntag newspaper. One person close to Deutsche Bank said the agreement was made in the latter half of February. The management board is composed of top executives and is responsible for setting its strategy with oversight from the so-called supervisory board of the bank.

Full Content: Wall Street Journal


Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.

...    


THIS ARTICLE IS NOT AVAILABLE FOR IP ADDRESS 104.151.16.164

                Please sign in or join us
                to access premium content!
            


",Google
3,"March 10, 2019",US: Dems want to know if White House interfered in AT&T/TW merger,"
On Thursday two US House Democrats asked the White House and Justice Department to turn over documents that could show whether Republican President Donald Trump sought to intervene in the regulatory review of AT&T’s $85 billion acquisition of Time Warner.
In letters released on Thursday, House Judiciary Committee Chairman Jerrold Nadler and Representative David Cicilline, who chairs a panel overseeing antitrust issues, asked them to turn over records after The New Yorker magazine reported this week that Trump directed then-National Economic Council director Gary Cohn to use the Justice Department to block the deal.
The pair wrote that if accurate, Trump’s involvement would “constitute a grave abuse of power.” Last week, a federal appeals court upheld a lower court ruling rejecting a Justice Department challenge to the deal filed in November 2017.
The letters cited the New Yorker article reporting that Trump called Cohn into the Oval Office “along with John Kelly, who had just become the chief of staff, and said in exasperation to Kelly, ‘I’ve been telling Cohn to get this lawsuit filed and nothing’s happened! I’ve mentioned it 50 times. And nothing’s happened. I want to make sure it’s filed. I want that deal blocked!’



Full Content: Reuters


Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.


...    


THIS ARTICLE IS NOT AVAILABLE FOR IP ADDRESS 104.151.16.164

                Please sign in or join us
                to access premium content!
            


",Google
4,"March 10, 2019",Here’s how we can break up Big Tech,"

By Elizabeth Warren

Twenty-five years ago, Facebook, Google, and Amazon didn’t exist. Now they are among the most valuable and well-known companies in the world. It’s a great story — but also one that highlights why the government must break up monopolies and promote competitive markets.
In the 1990s, Microsoft — the tech giant of its time — was trying to parlay its dominance in computer operating systems into dominance in the new area of web browsing. The federal government sued Microsoft for violating anti-monopoly laws and eventually reached a settlement. The government’s antitrust case against Microsoft helped clear a path for Internet companies like Google and Facebook to emerge.
The story demonstrates why promoting competition is so important: it allows new, groundbreaking companies to grow and thrive — which pushes everyone in the marketplace to offer better products and services. Aren’t we all glad that now we have the option of using Google instead of being stuck with Bing?
Continue Reading… 
...    


THIS ARTICLE IS NOT AVAILABLE FOR IP ADDRESS 104.151.16.164

                Please sign in or join us
                to access premium content!
            


",Google
5,"March 7, 2019","EU: Regulator accepts Hollywood studios, Sky UK concessions","
The European Commission has accepted commitments offered by top Hollywood film studios and Sky UK on their pay TV services that will allow European Union consumers to access films via satellite or online when they are outside Britain and Ireland, reported the Financial Times.
Thursday’s agreement smashes the country-by-country licensing regime that has dominated the sales of exclusive pay-TV content such as sports matches and new films. Disney, NBCUniversal, Sony Pictures and Warner Bros have promised not to enforce or reintroduce restrictions that prevent any European broadcaster selling its services beyond its home market to customers who make unsolicited requests for their services, so called passive sales.
Sky UK has promised to not seek to have the studios enforce the territorial restrictions on rivals. The promises apply to satellite and online services as well as video on demand.

Full Content: Financial Times


Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.

...    


THIS ARTICLE IS NOT AVAILABLE FOR IP ADDRESS 104.151.16.164

                Please sign in or join us
                to access premium content!
            


",Google
6,"March 7, 2019","EU: Thyssen, Tata deal in trouble: sources","
According to an exclusive from Reuters Thyssenkrupp and Tata Steel will not go very far in concessions to gain approval for a planned steel venture. Reuters quoted four people familiar, adding their offer might not be enough to satisfy the European Commission.
The two companies last year struck a deal to combine their European steel units to create the continent’s second-largest steelmaker after ArcelorMittal, a move that must be cleared by the European regulators.
Brussels last month sent a statement of objections in its antitrust review of the transaction, effectively asking for remedies in exchange for approval in three areas — electrical steel, galvanized steel for car parts, and packaging steel.

Full Content: Reuters


Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.

...    


THIS ARTICLE IS NOT AVAILABLE FOR IP ADDRESS 104.151.16.164

                Please sign in or join us
                to access premium content!
            


",Google
7,"March 7, 2019",Amazon Is Flooding D.C. With Money and Muscle: The Influence Game,"
Posted by Bloomberg
Amazon Is Flooding D.C. With Money and Muscle: The Influence Game
By Naomi Nix
After building out a powerful influence machine in Washington over the last few years, Amazon is going on the attack.
The Seattle-based company is pushing aside trade groups it doesn’t like and creating new ones it does. It’s dispatching senior executives to woo antitrust enforcers. And it’s poaching senior staff from government agencies and congressional offices.
Federal records show that Amazon.com Inc. lobbied more government entities than any other tech company in 2018 and sought to exert its influence over more issues than any of its tech peers except Alphabet Inc.’s Google. Last year, Amazon spent $14.2 million on lobbying, a record for the company, up from its previous high mark of $12.8 million in 2017. The $77 million that the nine tech companies in the charts below spent in 2018 to lobby Washington looks minuscule next to the $280 million spent by pharmaceutical and health-care products companies. Tech has, however, pulled ahead of the $64 million that commercial banks spent—and Amazon in particular has a cachet that allows it to punch above its weight at times. Of the nine, only the $21 million Google spent on lobbying beat Amazon’s total. Since 2012, Amazon has ramped up spending by more than 460 percent—much faster than its rivals.
Continue reading…
...    


THIS ARTICLE IS NOT AVAILABLE FOR IP ADDRESS 104.151.16.164

                Please sign in or join us
                to access premium content!
            


",Google
8,"March 7, 2019",CPI EU News: FCO Facebook Quadriptych,"
March 2019
CPI EU News Column edited by Thibault Schrepel, Sam Sadden & Jan Roth (CPI) presents:
CPI EU News: FCO Facebook Quadriptych
In early February 2019, the German Bundeskartellamt (“FCO”) announced its highly anticipated and “ground-breaking” Facebook decision. CPI EU News is pleased to present a Quadriptych of four short articles on this hot topic from a great panel of authors.
The FCO concluded that Facebook infringed German competition law by violating the European General Data Protection Regulation. The case is the first to establish an infringement of competition law rules where the practices were in conflict with data protection principles… thus, “straddling the line between competition policy and data protection.”
Some authors argue that the decision “ultimately pushes competition law far beyond its natural confines.” Others opine that the case “may represent an important step into European competition law’s future in digital markets.” What consequences might this case have beyond Germany?
– Samuel Sadden, Editor in Chief
Click here for a PDF version of the article
The Theory of Harm in the Bundeskartellamt’s Facebook Decision – By Viktoria H.S.E. Robertson (University of Graz)
Facebook’s Hunger For Your Data: Network Effects in the FCO Decision – By Alec Burnside, Clemens York, Marjolein De Backer (Dechert LLP.)
The FCO’s Facebook Decision: Putting Privacy Before Competition – By Dirk Auer (Inte...    


THIS ARTICLE IS NOT AVAILABLE FOR IP ADDRESS 104.151.16.164

                Please sign in or join us
                to access premium content!
            


",Google
9,"March 6, 2019",US: Judge drops hearing into Sinclair after failed Tribune merger,"
A US administrative law judge has dropped a hearing into Sinclair Broadcast’s US$3.9 billion bid to purchase Tribune Media because the deal had failed and further proceedings would be an “academic exercise.”
But Administrative Judge Jane Halprin said in an order released on Tuesday, March 5, allegations that Sinclair, the largest US broadcast station owner, may have misled regulators “are extremely serious charges that reasonably warrant a thorough examination.”
Tribune terminated the sale of 42 TV stations in 33 markets to Sinclair, which has 192 stations, in August. A month earlier the Federal Communications Commission referred the deal for a hearing, questioning Sinclair’s candor over the planned sale of some stations and suggesting Sinclair would effectively retain control over them.

Full Content: Variety


Want more news? Subscribe to CPI’s free daily newsletter for more headlines and updates on antitrust developments around the world.

...    


THIS ARTICLE IS NOT AVAILABLE FOR IP ADDRESS 104.151.16.164

                Please sign in or join us
                to access premium content!
            


",Google
